Timestamp,BUS_Voltage(V),BUS_Current(A),BUS_Phase_Current(A),BUS_RoationSpeed(rpm)
1687768738.2304285,72.7,0.0,0.0,28800
1687768738.330426,72.7,0.0,0.0,28800
1687768738.4304447,72.7,0.0,0.0,28800
1687768738.530447,72.7,0.0,0.0,28800
1687768738.6304348,72.7,0.0,0.0,28800
1687768738.7304256,72.7,0.0,0.0,28800
1687768738.8304293,72.7,0.0,0.0,28800
1687768738.9304287,72.7,0.0,0.0,28800
1687768739.0304332,72.7,0.0,0.0,28800
1687768739.13043,72.7,0.0,0.0,28800
1687768739.2305584,72.7,0.0,0.0,28800
1687768739.3306,72.7,0.0,0.0,28800
1687768739.4306035,72.7,0.0,0.0,28800
1687768739.5306044,72.7,0.0,0.0,28800
1687768739.630641,72.7,0.0,0.0,28800
1687768739.730599,72.7,0.0,0.0,28800
1687768739.8305993,72.7,0.0,0.0,28800
1687768739.930603,72.7,0.0,0.0,28800
1687768740.0305989,72.7,0.0,0.0,28800
1687768740.1305277,72.7,0.0,0.0,28800
1687768740.230507,72.7,0.0,0.0,28800
1687768740.330601,72.7,0.0,0.0,28800
1687768740.4305687,72.7,0.0,0.0,28800
1687768740.5304313,72.7,0.0,0.0,28800
1687768740.6304314,72.7,0.0,0.0,28800
1687768740.730432,72.7,0.0,0.0,28800
1687768740.830433,72.7,0.0,0.0,28800
1687768740.930429,72.7,0.0,0.0,28800
1687768741.030431,72.7,0.0,0.0,28800
1687768741.1304321,72.7,0.0,0.0,28800
1687768741.230604,72.7,0.0,0.0,28800
1687768741.3305671,72.7,0.0,0.0,28800
1687768741.4306128,72.7,0.0,0.0,28800
1687768741.5306027,72.7,0.0,0.0,28800
1687768741.630607,72.7,0.0,0.0,28800
1687768741.7306108,72.7,0.0,0.0,28800
1687768741.830603,72.7,0.0,0.0,28800
1687768741.930602,72.7,0.0,0.0,28800
1687768742.0306027,72.7,0.0,0.0,28800
1687768742.1306093,72.7,0.0,0.0,28800
1687768742.2304358,72.7,0.0,0.0,28800
1687768742.3304386,72.7,0.0,0.0,28800
1687768742.430437,72.7,0.0,0.0,28800
1687768742.530443,72.7,0.0,0.0,28800
1687768742.63045,72.7,0.0,0.0,28800
1687768742.7304401,72.7,0.0,0.0,28800
1687768742.8304508,72.7,0.0,0.0,28800
1687768742.9306145,72.7,0.0,0.0,28800
1687768743.0305696,72.7,0.0,0.0,28800
1687768743.130438,72.7,0.0,0.0,28800
1687768743.2304413,72.7,0.0,0.0,28800
1687768743.3304393,72.7,0.0,0.0,28800
1687768743.4304423,72.7,0.0,0.0,28800
1687768743.5304537,72.7,0.0,0.0,28800
1687768743.6304412,72.7,0.0,0.0,28800
1687768743.7304437,72.7,0.0,0.0,28800
1687768743.830611,72.7,0.0,0.0,28800
1687768743.9306066,72.7,0.0,0.0,28800
1687768744.0306113,72.7,0.0,0.0,28800
1687768744.1306157,72.7,0.0,0.0,28800
1687768744.230536,72.7,0.0,0.0,28800
1687768744.3306077,72.7,0.0,0.0,28800
1687768744.430614,72.7,0.0,0.0,28800
1687768744.5305474,72.7,0.0,0.0,28800
1687768744.6305406,72.7,0.0,0.0,28800
1687768744.7306123,72.7,0.0,0.0,28800
1687768744.8306153,72.7,0.0,0.0,28800
1687768744.9306123,72.7,0.0,0.0,28800
1687768745.0306075,72.7,0.0,0.0,28800
1687768745.1306162,72.7,0.0,0.0,28800
1687768745.2306092,72.7,0.0,0.0,28800
1687768745.330622,72.7,0.0,0.0,28800
1687768745.430627,72.7,0.0,0.0,28800
1687768745.5306265,72.7,0.0,0.0,28800
1687768745.6306252,72.7,0.0,0.0,28800
1687768745.7306204,72.7,0.0,0.0,28800
1687768745.8306212,72.7,0.0,0.0,28800
1687768745.9306176,72.7,0.0,0.0,28800
1687768746.0305858,72.7,0.0,0.0,28800
1687768746.1306202,72.7,0.0,0.0,28800
1687768746.230571,72.7,0.0,0.0,28800
1687768746.3306234,72.7,0.0,0.0,28800
1687768746.4306114,72.7,0.0,0.0,28800
1687768746.5306141,72.7,0.0,0.0,28800
1687768746.6306252,72.7,0.0,0.0,28800
1687768746.73065,72.7,0.0,0.0,28800
1687768746.8306134,72.7,0.0,0.0,28800
1687768746.9305809,72.7,0.0,0.0,28800
1687768747.0306232,72.7,0.0,0.0,28800
1687768747.1306157,72.7,0.0,0.0,28800
1687768747.2306945,72.7,0.0,0.0,28800
1687768747.3306348,72.7,0.0,0.0,28800
1687768747.4306762,72.7,0.0,0.0,28800
1687768747.530625,72.7,0.0,0.0,28800
1687768747.6305509,72.7,0.0,0.0,28800
1687768747.73045,72.7,0.0,0.0,28800
1687768747.830452,72.7,0.0,0.0,28800
1687768747.9304507,72.7,0.0,0.0,28800
1687768748.0304532,72.7,0.0,0.0,28800
1687768748.1304595,72.7,0.0,0.0,28800
1687768748.2304554,72.7,0.0,0.0,28800
1687768748.3305945,72.7,0.0,0.0,28800
1687768748.4304574,72.7,0.0,0.0,28800
1687768748.5304542,72.7,0.0,0.0,28800
1687768748.6304538,72.7,0.0,0.0,28800
1687768748.730452,72.7,0.0,0.0,28800
1687768748.8304524,72.7,0.0,0.0,28800
1687768748.9304533,72.7,0.0,0.0,28800
1687768749.030461,72.7,0.0,0.0,28800
1687768749.1306198,72.7,0.0,0.0,28800
1687768749.2306263,72.7,0.0,0.0,28800
1687768749.3306189,72.7,0.0,0.0,28800
1687768749.4306204,72.7,0.0,0.0,28800
1687768749.5306199,72.7,0.0,0.0,28800
1687768749.630619,72.7,0.0,0.0,28800
1687768749.7306247,72.7,0.0,0.0,28800
1687768749.830619,72.7,0.0,0.0,28800
1687768749.9306188,72.7,0.0,0.0,28800
1687768750.0306222,72.7,0.0,0.0,28800
1687768750.1306343,72.7,0.0,0.0,28800
1687768750.2305536,72.7,0.0,0.0,28800
1687768750.3306615,72.7,0.0,0.0,28800
1687768750.4306643,72.7,0.0,0.0,28800
1687768750.5306232,72.7,0.0,0.0,28800
1687768750.6306353,72.7,0.0,0.0,28800
1687768750.7306302,72.7,0.0,0.0,28800
1687768750.8306313,72.7,0.0,0.0,28800
1687768750.9306238,72.7,0.0,0.0,28800
1687768751.030631,72.7,0.0,0.0,28800
1687768751.1306372,72.7,0.0,0.0,28800
1687768751.2305918,72.7,0.0,0.0,28800
1687768751.3306568,72.7,0.0,0.0,28800
1687768751.430624,72.7,0.0,0.0,28800
1687768751.5305882,72.7,0.0,0.0,28800
1687768751.63063,72.7,0.0,0.0,28800
1687768751.7306364,72.7,0.0,0.0,28800
1687768751.8306248,72.7,0.0,0.0,28800
1687768751.9304612,72.7,0.0,0.0,28800
1687768752.0304596,72.7,0.0,0.0,28800
1687768752.1304653,72.7,0.0,0.0,28800
1687768752.2304614,72.7,0.0,0.0,28800
1687768752.3304622,72.7,0.0,0.0,28800
1687768752.430465,72.7,0.0,0.0,28800
1687768752.5304651,72.7,0.0,0.0,28800
1687768752.6306334,72.7,0.0,0.0,28800
1687768752.7305968,72.7,0.0,0.0,28800
1687768752.8306398,72.7,0.0,0.0,28800
1687768752.9306834,72.7,0.0,0.0,28800
1687768753.0305977,72.7,0.0,0.0,28800
1687768753.1306365,72.7,0.0,0.0,28800
1687768753.230639,72.7,0.0,0.0,28800
1687768753.3306367,72.7,0.0,0.0,28800
1687768753.430639,72.7,0.0,0.0,28800
1687768753.5306385,72.7,0.0,0.0,28800
1687768753.6305964,72.7,0.0,0.0,28800
1687768753.73064,72.7,0.0,0.0,28800
1687768753.830641,72.7,0.0,0.0,28800
1687768753.9306433,72.7,0.0,0.0,28800
1687768754.0306427,72.7,0.0,0.0,28800
1687768754.1306431,72.7,0.0,0.0,28800
1687768754.2306442,72.7,0.0,0.0,28800
1687768754.3306437,72.7,0.0,0.0,28800
1687768754.430644,72.7,0.0,0.0,28800
1687768754.530642,72.7,0.0,0.0,28800
1687768754.6306417,72.7,0.0,0.0,28800
1687768754.73064,72.7,0.0,0.0,28800
1687768754.8308122,72.7,0.0,0.0,28800
1687768754.9306033,72.7,0.0,0.0,28800
1687768755.030636,72.7,0.0,0.0,28800
1687768755.1305609,72.7,0.0,0.0,28800
1687768755.2305794,72.7,0.0,0.0,28800
1687768755.330558,72.7,0.0,0.0,28800
1687768755.4306588,72.7,0.0,0.0,28800
1687768755.530644,72.7,0.0,0.0,28800
1687768755.6306133,72.7,0.0,0.0,28800
1687768755.7306476,72.7,0.0,0.0,28800
1687768755.8306494,72.7,0.0,0.0,28800
1687768755.930671,72.7,0.0,0.0,28800
1687768756.0306463,72.7,0.0,0.0,28800
1687768756.130641,72.7,0.0,0.0,28800
1687768756.2306488,72.7,0.0,0.0,28800
1687768756.330616,72.7,0.0,0.0,28800
1687768756.4306586,72.7,0.0,0.0,28800
1687768756.5306401,72.7,0.0,0.0,28800
1687768756.630645,72.7,0.0,0.0,28800
1687768756.7306447,72.7,0.0,0.0,28800
1687768756.830682,72.7,0.0,0.0,28800
1687768756.9306424,72.7,0.0,0.0,28800
1687768757.0305715,72.7,0.0,0.0,28800
1687768757.130548,72.7,0.0,0.0,28800
1687768757.2306478,72.7,0.0,0.0,28800
1687768757.3306491,72.7,0.0,0.0,28800
1687768757.4306467,72.7,0.0,0.0,28800
1687768757.5306454,72.7,0.0,0.0,28800
1687768757.6306462,72.7,0.0,0.0,28800
1687768757.7306523,72.7,0.0,0.0,28800
1687768757.8306615,72.7,0.0,0.0,28800
1687768757.9306457,72.7,0.0,0.0,28800
1687768758.030647,72.7,0.0,0.0,28800
1687768758.1306088,72.8,0.0,0.0,28800
1687768758.2306802,72.7,0.0,0.0,28800
1687768758.33061,72.7,0.0,0.0,28800
1687768758.4306157,72.7,0.0,0.0,28800
1687768758.5306604,72.7,0.0,0.0,28800
1687768758.6306224,72.7,0.0,0.0,28800
1687768758.7304866,72.7,0.0,0.0,28800
1687768758.8304815,72.7,0.0,0.0,28800
1687768758.9304867,72.7,0.0,0.0,28800
1687768759.0304854,72.7,0.0,0.0,28800
1687768759.1304858,72.7,0.0,0.0,28800
1687768759.2304819,72.7,0.0,0.0,28800
1687768759.3304827,72.7,0.0,0.0,28800
1687768759.4306564,72.7,0.0,0.0,28800
1687768759.5306628,72.7,0.0,0.0,28800
1687768759.630649,72.7,0.0,0.0,28800
1687768759.730655,72.7,0.0,0.0,28800
1687768759.830647,72.7,0.0,0.0,28800
1687768759.930658,72.7,0.0,0.0,28800
1687768760.0306656,72.7,0.0,0.0,28800
1687768760.1306193,72.7,0.0,0.0,28800
1687768760.230612,72.7,0.0,0.0,28800
1687768760.3306708,72.7,0.0,0.0,28800
1687768760.4306607,72.7,0.0,0.0,28800
1687768760.5306592,72.7,0.0,0.0,28800
1687768760.63065,72.7,0.0,0.0,28800
1687768760.7306628,72.7,0.0,0.0,28800
1687768760.8306203,72.7,0.0,0.0,28800
1687768760.9306598,72.7,0.0,0.0,28800
1687768761.0306609,72.7,0.0,0.0,28800
1687768761.1306612,72.7,0.0,0.0,28800
1687768761.2306597,72.7,0.0,0.0,28800
1687768761.3306592,72.7,0.0,0.0,28800
1687768761.4306564,72.7,0.0,0.0,28800
1687768761.5306532,72.7,0.0,0.0,28800
1687768761.630651,72.7,0.0,0.0,28800
1687768761.7306638,72.7,0.0,0.0,28800
1687768761.8306563,72.7,0.0,0.0,28800
1687768761.9306614,72.7,0.0,0.0,28800
1687768762.0306594,72.7,0.0,0.0,28800
1687768762.130658,72.7,0.0,0.0,28800
1687768762.230663,72.7,0.0,0.0,28800
1687768762.3304906,72.7,0.0,0.0,28800
1687768762.4304965,72.7,0.0,0.0,28800
1687768762.5304873,72.7,0.0,0.0,28800
1687768762.6304886,72.7,0.0,0.0,28800
1687768762.730494,72.7,0.0,0.0,28800
1687768762.8304923,72.7,0.0,0.0,28800
1687768762.9304924,72.7,0.0,0.0,28800
1687768763.030664,72.7,0.0,0.0,28800
1687768763.130664,72.7,0.0,0.0,28800
1687768763.2306564,72.7,0.0,0.0,28800
1687768763.3306239,72.7,0.0,0.0,28800
1687768763.4306674,72.7,0.0,0.0,28800
1687768763.5306664,72.7,0.0,0.0,28800
1687768763.6306546,72.7,0.0,0.0,28800
1687768763.730569,72.7,0.0,0.0,28800
1687768763.8306644,72.7,0.0,0.0,28800
1687768763.930639,72.7,0.0,0.0,28800
1687768764.0306706,72.7,0.0,0.0,28800
1687768764.1306655,72.7,0.0,0.0,28800
1687768764.230671,72.7,0.0,0.0,28800
1687768764.33066,72.7,0.0,0.0,28800
1687768764.430704,72.7,0.0,0.0,28800
1687768764.5307064,72.7,0.0,0.0,28800
1687768764.6306999,72.7,0.0,0.0,28800
1687768764.7306707,72.7,0.0,0.0,28800
1687768764.830691,72.7,0.0,0.0,28800
1687768764.9306698,72.7,0.0,0.0,28800
1687768765.030603,72.7,0.0,0.0,28800
1687768765.1305683,72.7,0.0,0.0,28800
1687768765.23059,72.7,0.0,0.0,28800
1687768765.3305044,72.7,0.0,0.0,28800
1687768765.430499,72.7,0.0,0.0,28800
1687768765.530502,72.7,0.0,0.0,28800
1687768765.630498,72.7,0.0,0.0,28800
1687768765.730502,72.7,0.0,0.0,28800
1687768765.8305004,72.7,0.0,0.0,28800
1687768765.9305017,72.7,0.0,0.0,28800
1687768766.030506,72.7,0.0,0.0,28800
1687768766.1306744,72.7,0.0,0.0,28800
1687768766.2306752,72.7,0.0,0.0,28800
1687768766.3306806,72.7,0.0,0.0,28800
1687768766.4306672,72.7,0.0,0.0,28800
1687768766.530665,72.7,0.0,0.0,28800
1687768766.6306696,72.7,0.0,0.0,28800
1687768766.7306726,72.7,0.0,0.0,28800
1687768766.8306751,72.7,0.0,0.0,28800
1687768766.930676,72.7,0.0,0.0,28800
1687768767.0306735,72.7,0.0,0.0,28800
1687768767.1306887,72.7,0.0,0.0,28800
1687768767.2306845,72.7,0.0,0.0,28800
1687768767.3306723,72.7,0.0,0.0,28800
1687768767.430675,72.7,0.0,0.0,28800
1687768767.5306714,72.7,0.0,0.0,28800
1687768767.6306696,72.8,0.0,0.0,28800
1687768767.730667,72.7,0.0,0.0,28800
1687768767.8306906,72.7,0.0,0.0,28800
1687768767.9306645,72.7,0.0,0.0,28800
1687768768.030672,72.8,0.0,0.0,28800
1687768768.130636,72.7,0.0,0.0,28800
1687768768.2306693,72.7,0.0,0.0,28800
1687768768.330681,72.7,0.0,0.0,28800
1687768768.4306355,72.7,0.0,0.0,28800
1687768768.5307145,72.7,0.0,0.0,28800
1687768768.630673,72.7,0.0,0.0,28800
1687768768.7306712,72.7,0.0,0.0,28800
1687768768.830675,72.7,0.0,0.0,28800
1687768768.9306703,72.7,0.0,0.0,28800
1687768769.0306451,72.7,0.0,0.0,28800
1687768769.1305227,72.7,0.0,0.0,28800
1687768769.2305079,72.7,0.0,0.0,28800
1687768769.330507,72.7,0.0,0.0,28800
1687768769.4305067,72.7,0.0,0.0,28800
1687768769.5305042,72.7,0.0,0.0,28800
1687768769.6305084,72.7,0.0,0.0,28800
1687768769.7305088,72.7,0.0,0.0,28800
1687768769.8306372,72.7,0.0,0.0,28800
1687768769.9306781,72.7,0.0,0.0,28800
1687768770.0306997,72.7,0.0,0.0,28800
1687768770.1305823,72.7,0.0,0.0,28800
1687768770.230643,72.7,0.0,0.0,28800
1687768770.3306746,72.7,0.0,0.0,28800
1687768770.4306772,72.7,0.0,0.0,28800
1687768770.5306826,72.7,0.0,0.0,28800
1687768770.6306772,72.7,0.0,0.0,28800
1687768770.730681,72.7,0.0,0.0,28800
1687768770.8306837,72.7,0.0,0.0,28800
1687768770.9306881,72.7,0.0,0.0,28800
1687768771.030689,72.7,0.0,0.0,28800
1687768771.1306832,72.7,0.0,0.0,28800
1687768771.2306798,72.7,0.0,0.0,28800
1687768771.3306804,72.7,0.0,0.0,28800
1687768771.430802,72.7,0.0,0.0,28800
1687768771.5305128,72.7,0.0,0.0,28800
1687768771.630512,72.7,0.0,0.0,28800
1687768771.7305138,72.7,0.0,0.0,28800
1687768771.8305125,72.7,0.0,0.0,28800
1687768771.9305265,72.7,0.0,0.0,28800
1687768772.0305135,72.7,0.0,0.0,28800
1687768772.130517,72.7,0.0,0.0,28800
1687768772.2306814,72.7,0.0,0.0,28800
1687768772.3306854,72.7,0.0,0.0,28800
1687768772.4307055,72.7,0.0,0.0,28800
1687768772.5306962,72.7,0.0,0.0,28800
1687768772.6306832,72.7,0.0,0.0,28800
1687768772.730642,72.7,0.0,0.0,28800
1687768772.83069,72.7,0.0,0.0,28800
1687768772.9306946,72.7,0.0,0.0,28800
1687768773.030738,72.7,0.0,0.0,28800
1687768773.1306894,72.7,0.0,0.0,28800
1687768773.2306824,72.7,0.0,0.0,28800
1687768773.330688,72.7,0.0,0.0,28800
1687768773.430644,72.7,0.0,0.0,28800
1687768773.5306823,72.7,0.0,0.0,28800
1687768773.6306849,72.7,0.0,0.0,28800
1687768773.7306895,72.7,0.0,0.0,28800
1687768773.8306832,72.7,0.0,0.0,28800
1687768773.9306455,72.7,0.0,0.0,28800
1687768774.0307202,72.7,0.0,0.0,28800
1687768774.1306937,72.7,0.0,0.0,28800
1687768774.2306921,72.7,0.0,0.0,28800
1687768774.3306942,72.7,0.0,0.0,28800
1687768774.4306922,72.7,0.0,0.0,28800
1687768774.5306876,72.7,0.0,0.0,28800
1687768774.6306908,72.7,0.0,0.0,28800
1687768774.7306902,72.7,0.0,0.0,28800
1687768774.8306932,72.7,0.0,0.0,28800
1687768774.9306602,72.7,0.0,0.0,28800
1687768775.030695,72.7,0.0,0.0,28800
1687768775.1306353,72.7,0.0,0.0,28800
1687768775.2305255,72.7,0.0,0.0,28800
1687768775.330523,72.7,0.0,0.0,28800
1687768775.4305363,72.7,0.0,0.0,28800
1687768775.5305266,72.7,0.0,0.0,28800
1687768775.630529,72.7,0.0,0.0,28800
1687768775.7305267,72.7,0.0,0.0,28800
1687768775.8305264,72.7,0.0,0.0,28800
1687768775.930753,72.7,0.0,0.0,28800
1687768776.0307527,72.7,0.0,0.0,28800
1687768776.1306543,72.7,0.0,0.0,28800
1687768776.2306974,72.7,0.0,0.0,28800
1687768776.330695,72.7,0.0,0.0,28800
1687768776.4306984,72.7,0.0,0.0,28800
1687768776.5306509,72.7,0.0,0.0,28800
1687768776.630699,72.7,0.0,0.0,28800
1687768776.730705,72.7,0.0,0.0,28800
1687768776.8307667,72.7,0.0,0.0,28800
1687768776.930681,72.7,0.0,0.0,28800
1687768777.0305357,72.7,0.0,0.0,28800
1687768777.130533,72.7,0.0,0.0,28800
1687768777.2305262,72.7,0.0,0.0,28800
1687768777.3305285,72.7,0.0,0.0,28800
1687768777.4305272,72.7,0.0,0.0,28800
1687768777.5305457,72.7,0.0,0.0,28800
1687768777.6305323,72.7,0.0,0.0,28800
1687768777.7306304,72.7,0.0,0.0,28800
1687768777.8307004,72.7,0.0,0.0,28800
1687768777.9306748,72.7,0.0,0.0,28800
1687768778.0307117,72.7,0.0,0.0,28800
1687768778.1306617,72.7,0.0,0.0,28800
1687768778.230704,72.7,0.0,0.0,28800
1687768778.3306956,72.7,0.0,0.0,28800
1687768778.4307058,72.7,0.0,0.0,28800
1687768778.5306985,72.7,0.0,0.0,28800
1687768778.6307042,72.7,0.0,0.0,28800
1687768778.730668,72.7,0.0,0.0,28800
1687768778.8307052,72.7,0.0,0.0,28800
1687768778.9306679,72.7,0.0,0.0,28800
1687768779.0307071,72.7,0.0,0.0,28800
1687768779.1307075,72.7,0.0,0.0,28800
1687768779.230664,72.7,0.0,0.0,28800
1687768779.3307638,72.7,0.0,0.0,28800
1687768779.4306376,72.7,0.0,0.0,28800
1687768779.5307105,72.7,0.0,0.0,28800
1687768779.63072,72.7,0.0,0.0,28800
1687768779.7306066,72.7,0.0,0.0,28800
1687768779.8306491,72.7,0.0,0.0,28800
1687768779.9306366,72.7,0.0,0.0,28800
1687768780.030677,72.7,0.0,0.0,28800
1687768780.1305346,72.7,0.0,0.0,28800
1687768780.2305343,72.7,0.0,0.0,28800
1687768780.3305478,72.7,0.0,0.0,28800
1687768780.4305422,72.7,0.0,0.0,28800
1687768780.5305364,72.7,0.0,0.0,28800
1687768780.630533,72.7,0.0,0.0,28800
1687768780.730535,72.7,0.0,0.0,28800
1687768780.8307045,72.7,0.0,0.0,28800
1687768780.9307032,72.7,0.0,0.0,28800
1687768781.0306675,72.7,0.0,0.0,28800
1687768781.1307452,72.7,0.0,0.0,28800
1687768781.230665,72.7,0.0,0.0,28800
1687768781.3306677,72.7,0.0,0.0,28800
1687768781.4306617,72.7,0.0,0.0,28800
1687768781.5307343,72.7,0.0,0.0,28800
1687768781.6306608,72.7,0.0,0.0,28800
1687768781.730669,72.7,0.0,0.0,28800
1687768781.830711,72.7,0.0,0.0,28800
1687768781.930672,72.7,0.0,0.0,28800
1687768782.030667,72.7,0.0,0.0,28800
1687768782.1306703,72.7,0.0,0.0,28800
1687768782.2306702,72.7,0.0,0.0,28800
1687768782.3306909,72.7,0.0,0.0,28800
1687768782.4306872,72.7,0.0,0.0,28800
1687768782.5306673,72.7,0.0,0.0,28800
1687768782.6306713,72.7,0.0,0.0,28800
1687768782.7307186,72.7,0.0,0.0,28800
1687768782.8306632,72.7,0.0,0.0,28800
1687768782.9307065,72.7,0.0,0.0,28800
1687768783.0307088,72.7,0.0,0.0,28800
